Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
1948,Qtr 1,January,30,NE,Avro 688 Tudor,Avro 688 Tudor IG AHNP,Atlantic Ocean NE,Airways American South BermudaBritish of,0,31,31
1948,Qtr 3,August,1,miles,Latecoere 631 (flying,Latecoere 631 (flying boat)F BDRC,1 miles,Atlantic Ocean         Dakar off Air France,0,52,52
1948,Qtr 4,October,12,Azerbaijan,Ilyushin,Ilyushin Il12CCCP L1450,Near Yevlakh Azerbaijan,USSRAeroflot,0,10,10
1949,Qtr 1,January,17,Lochgoilhead,Boeing,Boeing B 29A Superfortress44,Near Succoth Glen Lochgoilhead,Scotland Military - U.S. Air Force,0,20,20
1949,Qtr 2,May,4,Dorset,Bristol 170 Freighter 31 Mark,Bristol 170 Freighter 31 Mark IIG AIFF,Near Portland Dorset,England Bristop Aeroplane Company,0,7,7
1950,Qtr 1,March,10,Vietnam,Bristol 170 Freighter,Bristol 170 Freighter 21F BECR,Saigon Vietnam,Aeriens Transport de Indochinoise Societe,0,4,4
1950,Qtr 1,March,12,Cardiff,Avro 689 Tudor,Avro 689 Tudor 5G AKBY,Llandow Airport Cardiff,Wales Fairflight Ltd.,0,80,83
1952,Qtr 1,February,19,Cameroon,Consolidated  32 Liberator,Consolidated  32 Liberator IIF BEFX,Near Yaounde Cameroon,STAAP,0,9,9
1952,Qtr 4,December,6,Bugaria,Lisunov,Lisunov Li 2?,Near Sofia Bugaria,TABSO,0,18,18
1953,Qtr 1,March,18,Newfoundlandu.s.,Boeing,Boeing B 29 Superfortress44,Stephenville Newfoundlandu.s.,Force Air,0,10,10
1953,Qtr 1,March,29,Tanganyika,Vickers 616 Viking,Vickers 616 Viking 1BVP YEY,Mtara Tanganyika,Airways African Central,0,13,13
1953,Qtr 2,April,10,Jamaica,Lockheed,Lockheed 18 56 LodeStarVP,Off Kingston Jamaica,Airways International Caribbean,0,13,13
1954,Qtr 2,April,13,Laos,Lockheed 18,Lockheed 18 LodestarF OALK,Xieng Kouang Laos,Raviteillement de Indochinoise Societe,0,16,23
1955,Qtr 1,January,12,Covington,Martin 202A /,Martin 202A / DC 3N93211/N999B,Greater Cincinnati Airport Covington,Kentucky Trans World Airlines / Castleton Inc.,0,15,15
1955,Qtr 1,February,26,Argentinade,de Havilland DH.104 Dove,de Havilland DH.104 Dove LQ XWW,Formosa Argentinade,Dove Havilland,0,6,7
1955,Qtr 1,March,7,Mexic,Lockheed 18,Lockheed 18 LodeStarXB ZEH,Near Cuidad de Valles Mexic,Private,0,6,6
1955,Qtr 2,April,11,Sarawak,Lockheed 749A,Lockheed 749A ConstellationVT DEP,Off Great Natuna Island Sarawak,India Air,0,19,19
1955,Qtr 2,April,18,Cameroons,De Havilland,de Havilland DH 114 Heron 1BF,Kupe Mountains Cameroons,Aeriens Transportes des Union,0,12,14
1955,Qtr 2,June,16,Paraguay,Lockheed,Lockheed 049 46,Near Asuncion Paraguay,Brasil do Panair,0,16,24
1955,Qtr 3,September,29,Northwest,Avro 685 York,Avro 685 York C 1CF,Yellowknife Northwest,Canada          Territory Associated Airways,0,1,2
1956,Qtr 3,September,9,Jordan,Curtiss,Curtiss C 46A,Amman Jordan,Airlines International Jordan,0,1,57
1956,Qtr 4,December,31,Saudi,Lockheed,Lockheed C 121C Super Constellation54,Dhahran Saudi,Force Air U.S. - ArabiaMilitary,0,12,38
1957,Qtr 2,May,1,Hants,Vickers Viking,Vickers Viking 1BG AJBO,Blackbushe Hants,England Eagle Aviation,0,34,35
1957,Qtr 2,May,9,Madrid,Bristol 170,Bristol 170 FreighterEC ADI,Barajas Madrid,Spain Aviaco,0,37,37
1957,Qtr 3,September,27,Maharashtra,Let Aero,Let Aero 45SVT DHO,Bhiwandi Maharashtra,Indiaèkoda (India) Ltd,0,3,3
1958,Qtr 1,February,27,Lancs,Bristol 170 Freighter,Bristol 170 Freighter 21G AICS,Horwich Lancs,England Silver City Airways,0,35,42
1958,Qtr 3,August,14,100,Lockheed 1049H Super,Lockheed 1049H Super ConstellationPH LKM,North Atlantic Ocean 100,Ireland      Bay Galway of W miles KLM Royal Dutch Airlines,0,99,99
1958,Qtr 4,October,18,Placentia,Lockheed,Lockheed WV 2 Super Constellation141294,NAS Argentia Placentia,Newfoundland          Bay,0,11,29
1959,Qtr 1,March,29,Central,Nord 2501,Nord 2501 NoratlasF BGZB,Near Bangui Central,Transport de Aeromaritime RepublicUnion African,0,9,9
1959,Qtr 2,June,26,Lombardia,Lockheed 1649A,Lockheed 1649A StarlinerN7313C,Near Varese Lombardia,20 miles NW of Milan,0,68,68
1959,Qtr 3,July,15,Kuwait,Avro 685,Avro 685 YorkEP ADE,Kuwait City Kuwait,PAS,0,32,32
1959,Qtr 4,October,6,Suriname,Aero Commander AC,Aero Commander AC 520?,Paloemeu Suriname,Airways Eyck Kappel-Van,0,2,2
1960,Qtr 1,January,21,Jamacia,Lockheed 1049E Super,Lockheed 1049E Super ConstellationHK 177,Montego Bay Jamacia,Avianca,0,37,46
1960,Qtr 2,June,10,Qld.,Fokker,Fokker F 27 Friendship 100VH,Off  Mackay Qld.,Airlines Australia AustraliaTrans,0,29,29
1961,Qtr 4,November,1,Guernsey,Bristol 170 Freighter,Bristol 170 Freighter 31MG ANWL,Les Prevosts Guernsey,Airways City Silver,0,2,10
1961,Qtr 4,November,30,NSW,Vickers Viscount,Vickers Viscount 720VH TVC,Sydney NSW,Australia Ansett ANA,0,15,15
1961,Qtr 4,December,24,Kodiak,Grumman,Grumman G 21A GooseN1503V,Old Harbor Kodiak,Alaska          Island Kodiak Airways,0,1,5
1962,Qtr 1,January,22,Boliviano,Curtiss,Curtiss C 46DCP,Caranavi  Boliviano,Fomento de,0,6,6
1962,Qtr 1,February,25,Margarita,Fairchild,Fairchild F 27YV,Portlamar Margarita,Venezuela          Island Avensa,0,23,23
1962,Qtr 1,March,15,Philippine,Lockheed 1049H Super,Lockheed 1049H Super ConstellationN6921C,Western Pacific Ocean Philippine,Line Tiger SeaFlying,0,107,107
1962,Qtr 2,June,22,Guadaloupe,Boeing,Boeing B 707,Basse-Terre Guadaloupe,West Indies Air France,0,112,112
1963,Qtr 3,September,4,Aargau,Sud,Sud  Aviation Caravelle IIIHG,Durrenasch Aargau,Switzerland Swissair,0,80,80
1965,Qtr 1,March,17,Nova,Handley Page,Handley Page HPR 7 Herald 211CF,Musquodoboit Nova,Canada          Scotia Eastern Provincial Airways,0,8,8
1965,Qtr 2,May,5,Canary,Lockheed,Lockheed 1049G 55 Super ConstellationEC,Tenerife Canary,SpainCanary Islands          Islands Iberia Airlines,0,30,49
1965,Qtr 3,July,15,Virgin,De Havilland,de Havilland 106AN6503D,St. Thomas Virgin,Airways Islands IslandsVirgin,0,8,12
1966,Qtr 1,January,9,Cundinamarca,DC3(C47)FAC,DC3(C47)FAC  675,Chipaque Cundinamarca,Colombia Satena,0,11,11
1966,Qtr 1,March,5,Mt.,Boeing,Boeing B 707,Near Gotemba City Mt.,Japan          Fuji British Overseas Airways,0,124,124
1966,Qtr 2,June,20,QC,Curtis,Curtis C 46E,Lac Peribonka QC,Canada Norair,0,2,2
1966,Qtr 4,October,8,Louisiana,Bell 204B,Bell 204B helicopterN1187W,Off Morgan City Louisiana,Helicopter Petroleum,0,11,11
1967,Qtr 2,April,20,Cyprus,Bristol Britannia,Bristol Britannia 175HB ITB,Near Nicosia Cyprus,Air Globe,0,126,130
1967,Qtr 2,June,4,Cheshire,Canadair,Canadair C 4 ArgonautG,Stockport Cheshire,England British Midland Airways,0,72,84
1967,Qtr 4,November,4,Sussex,Sud Aviation Caravelle,Sud Aviation Caravelle 10REC BDD,Fernhurst Sussex,England Iberia Airlines,0,37,37
1967,Qtr 4,November,20,Covington/Hebron,Convair,Convair CV 880,Cincinnati International Airport Covington/Hebron,Kentucky Trans World Airlines,0,70,82
1968,Qtr 1,January,27,Comoro,De Havilland,de Havilland DH 114 Heron 1BF,Moroni Comoro,Comores IslandsAir,0,15,16
1968,Qtr 2,April,20,South-West,Boeing,Boeing B 707,Near Windhoek South-West,Airways African (Namibia)South Africa,0,123,128
1968,Qtr 4,December,31,WA,Vickers Viscount,Vickers Viscount 720VH RMQ,Port Hedland WA,Australia Mac,0,26,26
1969,Qtr 2,June,4,Nuevo,Boeing,Boeing B 727,Near Salinas Victoria Nuevo,Mexico          Leon Compania Mexicana de Aviacion,0,79,79
1969,Qtr 4,November,19,Glens,Fairchild,Fairchild  Hiller FH,Mt. Pilot Knob Glens,New York          Falls Mohawk Airlines,0,14,14
1970,Qtr 2,May,2,US,McDonnell Douglas,McDonnell Douglas DC 9,Near St. Croix US,Airlines IslandsAntillean Virgin,0,23,63
1970,Qtr 3,July,3,Gerona,de Havilland Comet,de Havilland Comet 4G APDN,Near Arbucias Gerona,Spain Dan Air Services,0,112,112
1970,Qtr 3,September,26,Faeroe,Fokker,Fokker F 27 Friendship 300TF,Near Vagar Faeroe,Denmark          Islands Icelandair,0,8,34
1970,Qtr 4,December,2,Bangladesh,Canadair,Canadair CL 44JTF,Dhaka Bangladesh,Cargolux,0,8,8
1971,Qtr 2,May,25,"Chile	Aerolineas",Curtiss,"Curtiss C 46	CC","Santiago Chile	Aerolineas",ALFA - Austral Flecha,0,4,4
1971,Qtr 4,December,24,Huanuco,Lockheed 188A,Lockheed 188A ElectraOB R,Near Puerto Inca Huanuco,Peru Lineas Aereas Nacionales SA (Peru),0,91,92
1972,Qtr 2,May,5,Sicily,McDonnell Douglas,McDonnell Douglas DC 8,Near Carini Sicily,Italy Alitalia,0,115,115
1972,Qtr 4,October,23,Vanuatu,Britten,Britten  Norman BN,Tanna Vanuatu,Melanesie Air,0,1,8
1972,Qtr 4,October,27,Loire,Vickers Viscount,Vickers Viscount 724F BMCH,Near Noiretable Loire,France Air Inter,0,60,68
1973,Qtr 1,March,3,USSRBalkan,Ilyushin,Ilyushin IL 18VLZ,Moscow USSRBalkan,Airlines Bulgarian,0,25,25
1973,Qtr 3,July,11,Orly,Boeing,Boeing B 707,Paris Orly,France          Airport Varig,0,123,134
1973,Qtr 3,July,24,HIAir,Volpar,Volpar C45GN234JC,Honolulu HIAir,Hawaii,0,5,5
1973,Qtr 3,July,31,Boston,McDonnell Douglas,McDonnell Douglas DC 9,Logan Airport Boston,Massachusetts Delta Air Lines,0,89,89
1974,Qtr 1,February,2,HIPan,Boeing,Boeing B 747N732PA,Near Honolulu HIPan,Airways World American,0,1,298
1974,Qtr 1,February,9,Crete,Transall,Transall C 160D50,Near Souda Crete,Force Air German West - Military,0,35,40
1974,Qtr 2,April,22,Bali,Boeing,Boeing B 707,Grogak Bali,Indonesia Pan American World Airways,0,107,107
1974,Qtr 2,June,27,Khmer,Boeing,Boeing 307B 1 StratolinerXW,Battambang Khmer,Air RepublicCambodia,0,19,39
1974,Qtr 3,August,11,Upper,Ilyushin,Ilyushin IL 18BTZ,Near Ouagadougou Upper,Mali  VoltaAir,0,47,60
1975,Qtr 1,January,15,Hunary,Ilyushin,Ilyushin IL 18VHA,Budapest Hunary,Airlines Hungarian Malev,0,9,9
1976,Qtr 2,June,1,Equatorial,Tupolev,Tupolev TU 154ACCCP,Nacias Nguema Equatorial,GuineaAeroflot,0,45,45
1976,Qtr 3,September,10,Hrvatska,McDonnell Douglas,McDonnell Douglas DC 9,Near Gaj Hrvatska,Yugoslavia Inex Adria Aviopromet / British Airways,0,176,176
1977,Qtr 1,March,4,Niger,McDonnell Douglas,McDonnell Douglas DC 8,Niamey Niger,Airways National Overseas,0,2,4
1977,Qtr 2,April,19,Estonia,Antonov,Antonov AN 24?,Tapa AFB Estonia,Force Air Soviet - Military,0,21,21
1977,Qtr 4,November,19,Island,Boeing,Boeing B 727,Near Funchal Island,Portugal         Madeira of TAP (Air Portugal),0,131,164
1977,Qtr 4,December,24,Curacao,Piper,Piper PA 31,Willemstad Curacao,Netherlands Antilles Valley Air Service,0,10,10
1978,Qtr 1,March,1,Los,McDonnell Douglas,McDonnell Douglas DC 10,LAX Los,California          Angeles Continental Airlines,0,2,200
1978,Qtr 3,September,3,Guinea,Ilyushin,Ilyushin IL 183X,Conakry Guinea,Guinee Air,0,15,17
1978,Qtr 3,September,3,Rhodesia,Vickers Viscount,Vickers Viscount 782DVP WAS,Near Kariba Rhodesia,Rhodesia (Zimbabwe)Air,0,38,56
1978,Qtr 3,September,13,AKAlaska,De Havilland,de Havilland DHC 2N37741,Whittier AKAlaska,Travel,0,6,6
1978,Qtr 4,October,3,Myanmar,Fokker,Fokker F 27 Friendship 600XY,Near Mandalay Myanmar,Airways Burma,0,2,44
1978,Qtr 4,October,22,Solomon,Britten Norman,Britten Norman BN 2A TrislanderH4,Off Bellona Solomon,Airlines Islands IslandsSolomon,0,11,11
1978,Qtr 4,December,4,Coloado,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300N25RM,Near Steamboat Springs Coloado,Airways Mountain Rocky,0,2,22
1979,Qtr 1,March,14,Qatar,Boeing,Boeing B 727,Near Doha Airport Qatar,Airlines Jordanian Royal Alia,0,45,64
1979,Qtr 3,July,12,Fiji,Britten Norman,Britten Norman BN 2A TrislanderDQ,Bua Fiji,Services Air Fiji,0,9,9
1979,Qtr 3,July,31,Shetlands,Hawker Siddeley,Hawker Siddeley HS 748,Off Sumburgh Shetlands,Scotland Dan Air Services,0,17,47
1979,Qtr 4,November,26,Jeddah,Boeing,Boeing B 707,Near At Ta'if Jeddah,Saudi Arabia Pakistan International Airlines,0,156,156
1979,Qtr 4,November,28,Ross,McDonnell Douglas,McDonnell Douglas DC 10,Near Mt. Erebus Ross,Antarctica         Shelf Ice Air New Zealand,0,257,257
1980,Qtr 3,August,7,Mauretania,Tupolev,Tupolev TU 154B,Nouadhibou Mauretania,TAROM,0,1,168
1981,Qtr 3,July,18,Armenia,Canadair,Canadair CL 44D4,Near Yerevan Armenia,TAR,0,4,4
1981,Qtr 3,August,22,Miao-li,Boeing,Boeing B 737,Near Sanyi Miao-li,Taiwan Far Eastern Air Transport,0,110,110
1981,Qtr 3,September,18,Russian,Yakovlev,Yakovlev YAK 40 / Mil Mi,Zeleznogorsk Russian,Russian - /Military Aeroflot,0,40,40
1981,Qtr 4,December,16,Brunei,Aerospatiale,Aerospatiale Puma9M SSC,Kuala Belait Brunei,Helicopters Bristow,0,12,12
1982,Qtr 1,February,21,Rhode,de Havilland DHC,de Havilland DHC  6,Providence Rhode,Airlines IslandPilgrim,0,1,12
1982,Qtr 2,April,26,Guangxi,Hawker Siddeley Trident,Hawker Siddeley Trident 2EB 266,Near Yangshuo Guangxi,China CAAC,0,112,112
1982,Qtr 3,July,3,Gabon,Cessna 404,Cessna 404 TitanTR LYQ,Oganda Gabon,Gabon Affaires Air,0,12,12
1983,Qtr 2,May,5,FL,Lockheed,Lockheed L 1011N334EA,En route Miami FL,Bahamas         Nassau - Eastern Air Lines,0,0,172
1983,Qtr 3,July,11,Azuay,Boeing,Boeing B 737,Near Cuenca Azuay,Ecuador TAME,0,119,119
1983,Qtr 3,July,16,UKBritish,Sikorsky,Sikorsky S 61N,Off Scilly Islands UKBritish,Helicopters Airways,0,20,26
1983,Qtr 3,September,23,UAEGulf,Boeing,Boeing B 737,Near Mina Jebel Ali UAEGulf,Air,0,112,112
1983,Qtr 4,November,8,Huila,Boeing,Boeing B 737,Lubango Huila,Angola TAAG Angola Airlines,0,130,130
1984,Qtr 1,February,19,El,Bell,Bell UH 1H / Bell UH,Near San Gerardo El,Force Air Salvadoran - SalvadorMilitary,0,28,28
1985,Qtr 1,February,19,Vizcaya,Boeing,Boeing B 727,Near Durango Vizcaya,Spain Iberia Airlines,0,148,148
1985,Qtr 2,June,23,110,Boeing,Boeing B 747,Atlantic Ocean 110,India IrelandAir of West miles,0,329,329
1986,Qtr 1,March,25,Soviet,Antonov,Antonov An 12APCCCP,Omsk Soviet,Mashinostroyeniya Obshchestvo UnionMinisterstvo,0,9,9
1986,Qtr 2,May,18,Djibouti,Dassault Breguet,Dassault Breguet Atlantique19,Djibouti Djibouti,Aviation Naval French - Military,0,19,19
1986,Qtr 2,June,12,Islay,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300G,Port Ellen Islay,IslandLoganair,0,1,16
1986,Qtr 3,August,4,Leeward,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300V2,Off St. Vincent Leeward,Transport Air Islands IslandsLeeward,0,13,13
1987,Qtr 4,November,6,Malawi,Shorts,Shorts SC 7 Skyvan 3,Ulongue Malawi,Malawi Air,0,10,10
1987,Qtr 4,December,3,Rwanda,Cessna 404,Cessna 404 Titan5Y EJS,Near Kishwati Rwanda,Charters Air Skybird Cooper,0,14,14
1988,Qtr 1,January,18,Sichuan,Ilyushin,Ilyushin IL 18DB,Near Chungking Sichuan,China China Southwest Airlines,0,108,108
1988,Qtr 1,March,17,N,Boeing,Boeing B 727,Near Cucuta N,Colombia        Santander  of AVIANCA,0,143,143
1989,Qtr 2,June,7,Surinam,McDonnell Douglas,McDonnell Douglas DC 8 Super 62N1809E,Near Paramaribo Surinam,Airways Surinam,0,176,187
1989,Qtr 3,September,27,Tusayan,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300N75GC,Grand Canyon National Park Airport Tusayan,Arizona Grand Canyon Airlines,0,10,21
1989,Qtr 4,October,26,USSRMilitary,Antonov,Antonov AN 2609,Petropavlovsk USSRMilitary,Force Air Soviet -,0,36,36
1989,Qtr 4,October,28,Molokai,De Havilland,de Havilland DHC 6 Twin Otter 300N707PV,Halawa Point Molokai,Hawaii Aloha Island Air,0,20,20
1989,Qtr 4,November,10,Lesotho,Casa 212,Casa 212 AviocarLDF 46,Maluti Mountains Lesotho,Force Defence Lesotho Royal - Military,0,18,18
1990,Qtr 1,January,25,Lombok,Hawker Siddeley,Hawker Siddeley HS 748,Mt Rijani Lombok,Indonesia          Island Airfast Services,0,19,19
1990,Qtr 1,January,26,Mongolia,Antonov,"Antonov AN 26V	 BNMAU",Zavkhan Mongolia,Airlines Mongolian - MIAT,0,30,30
1990,Qtr 1,January,27,Congo,Nord,Nord 262C 66TN,Near Kinkala Congo,Force Air Congolese - Military,0,28,28
1990,Qtr 1,January,29,Vermont,Cessna 208B Caravan,Cessna 208B Caravan IN4688B,Burlington Vermont,Express Airborne,0,2,2
1990,Qtr 1,March,12,Sierre,Sikorsky,Sikorsky S 58ET (helilcopter)EC,Off Freetown Sierre,LeoneHelicsa,0,11,13
1991,Qtr 1,March,16,CADuncan,Hawker,Hawker  Siddeley DH,San Diego CADuncan,Sales Aircraft,0,10,10
1991,Qtr 2,May,13,Airzona,Cessna,Cessna 207AN6280H,Grand Canyon Airzona,Inc. Canyon Grand Air - Taxi Air,0,7,7
1991,Qtr 2,June,1,Great,GAF Nomad,GAF Nomad N24AN8071L,Off Matthewtown Great,Inc. Flight InaguaAgape,0,2,3
1991,Qtr 3,August,6,Cook,Britten,Britten  Norman BN,Rarotonga Cook,Air IslandsAvalki,0,6,10
1991,Qtr 3,September,17,"Djibouti
	Djibouti",Lockheed,Lockheed L 100,"Djibouti City Djibouti
	Djibouti",DjiboutiDjibouti City          City,0,4,4
1991,Qtr 4,October,30,Ellesmere,Lockheed,Lockheed CC 130E130322,Near Point Alert Ellesmere,NWT          Island,0,5,18
1992,Qtr 3,July,24,Macedonia,Antonov,Antonov 12BKCCCP 11342,Near Skopje Macedonia,Airlines Volga-Dnepr,0,8,8
1992,Qtr 4,October,18,Jawa,CASA,CASA 235 10PK,Near Garut Jawa,Indonesia Merpati Nusantara Airlines,0,31,31
1992,Qtr 4,December,21,Algarve,McDonnell Douglas,McDonnell Douglas DC 10,Faro Algarve,Portugalc Holland NV,0,56,340
1993,Qtr 3,July,1,Irian,Fokker,Fokker F 28 Fellowship 3000PK,Sorong Irian,Indonesia          Jaya Merpati Nusantara Airlines,0,41,43
1993,Qtr 3,August,18,Guantanamo,McDonnell Douglas,McDonnell Douglas DC 8,Leeward Point Airfield Guantanamo,Cuba          Bay American International Airways,0,0,3
1993,Qtr 4,December,3,NWT,Britten Norman,Britten Norman BN 2A Trislander7C,Tuktoyaktuk NWT,Canada Arctic Wings & Rotors,0,7,7
1994,Qtr 2,April,26,Aichi,Airbus,Airbus A300B4 622RB,Near Komaki Aichi,Japan China Airlines (Taiwan),0,264,271
1995,Qtr 1,January,10,Inodnesia,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300PK,Off Flores Island Inodnesia,Airlines Nusantara Merpati,0,14,14
1995,Qtr 3,August,9,San,Boeing,Boeing B 737,Mt. Chichontepec San,El Salvador          Vincente Aviateca,0,65,65
1995,Qtr 4,October,4,Kirghizia,Mil,Mil Mi 8MTV,Barskoon Kirghizia,Zaoldoru Aba Kirghizia,0,15,15
1995,Qtr 4,December,20,Valle,Boeing,Boeing B 757,Near Buga Valle,Colombia         Cauca del American Airlines,0,160,164
1996,Qtr 1,February,6,Domincan,Boeing,Boeing B 757,Off Puerto Plata Domincan,leased from Birgen Air         Nacionales RepublicAlas,0,189,189
1996,Qtr 1,February,12,Hati,GAF Nomad,GAF Nomad N 24AN224E,Port-au-Prince Hati,Express Hati,0,11,15
1996,Qtr 2,May,11,Miami,McDonnell Douglas,McDonnell Douglas DC 9,Everglades Miami,Florida Valu,0,110,110
1996,Qtr 3,July,24,Manmar,Fokker,Fokker F 27 Friendship 600XY,Near Mergui Manmar,Airways Myanmar,0,8,49
1996,Qtr 3,August,19,Yugosalvia,Ilyushin,Ilyushin IL 76TRA,Belgrade Yugosalvia,Transport Air Spair,0,12,12
1996,Qtr 4,November,22,CAMilitary,Lockheed,Lockheed HC 130P Hercules64,Off Cape Mendocino CAMilitary,Force Air U.S. -,0,10,11
1997,Qtr 1,January,7,Samoa,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 3005W,Near Moamoa Samoa,Airlines Polynesian,0,3,5
1997,Qtr 3,September,13,Africa,Tupolev,Tupolev TU 154M / C,Off Namibia Africa,USAF - Military / Luftwaffe - Military,0,33,33
1998,Qtr 3,July,17,Eritrea,Ilyushin,Ilyushin II 76UR,Asmara Eritrea,Company Transport Aviation Ukraine,0,10,10
1998,Qtr 3,September,25,Morroco,British Aerospace,British Aerospace BAe 146,Near Nador Morroco,Air Paukn,0,38,38
1998,Qtr 3,September,28,Cape,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300D4,Praia Cape,Airlines Verde VerdeCabo,0,1,22
1999,Qtr 2,June,25,Manatoba,de Havilland Canada,de Havilland Canada DHC 3 OtterC,Long Haul Lake Manatoba,Canada Blue Water Aviation Services,0,1,2
1999,Qtr 4,November,12,Kosovo,Aerospatiale Alenia,Aerospatiale Alenia ATR 42F,Near Pristina Kosovo,charter U.N. - Fly Si,0,24,24
2000,Qtr 1,March,5,Calilfornia,Boeing,Boeing B 737,Burbank Calilfornia,Airlines Southwest,0,0,142
2000,Qtr 2,May,3,Guyana,Britten,Britten  Norman BN,Kurupung Guyana,Airways Guyana Trans,0,1,1
2000,Qtr 4,October,25,Republic,Ilyushin,Ilyushin IL 18DRA,Near Batumi Republic,Force Air Russian - GeorgiaMilitary of,0,86,86
2000,Qtr 4,December,11,Beni,Cessna,Cessna 206CP 1721,Near Sumacal Beni,BOServicio Aereo Manchupo,0,6,6
2001,Qtr 3,August,24,Terceira,Airbus,Airbus A 330,Lajes Terceira,Azores Air Transat,0,0,304
2002,Qtr 2,May,7,Tunisia,Boeing,Boeing B 737,Near Tunis Tunisia,Egypt,0,14,62
2002,Qtr 3,July,16,Norfork,Sikorsky,Sikorsky S 76AG,Off Cromer Norfork,England Bristow Helicopters,0,11,11
2002,Qtr 3,August,19,Chechnya,Mil,Mil Mi 2689RED,Khankala Chechnya,Force Air Russian - Military,0,121,147
2002,Qtr 3,September,14,Sao,ATR,ATR 42 300PT,Paranapanema Sao,Brazil          Paulo Total  Air Lines,0,2,2
2003,Qtr 2,June,26,Namibia,Cessna 208B Grand,Cessna 208B Grand CaravanV5 CAS,Near Rooisand Desert Ranch Namibia,Aviation Comvac,0,4,4
2003,Qtr 3,July,1,Para,Mitsubishi MU 2B,Mitsubishi MU 2B 35PT LFX,Belem Para,Brazil Heringer Air Taxi,0,4,4
2003,Qtr 3,July,5,Rio,Sikorsky  S 76,Sikorsky  S 76 APT YVM,Macaé Rio,Brazil         Janeiro de BHS - Brazilian Helicopter Services,0,5,5
2003,Qtr 4,December,25,Benin,Boeing,Boeing B 727,Cotonou Benin,Guinee de Aeriens Transports des Union,0,140,161
2004,Qtr 1,February,6,Bosnia-Herzegovina,Beechcraft Super King Air,Beechcraft Super King Air 200Z3 BAB,Bitonja Bosnia-Herzegovina,Macedonia of Government - Military,0,9,9
2004,Qtr 1,March,4,"Azerbaijan
	
Bakou",Ilyushin,Ilyushin II 76UR,"Bakou Azerbaijan
	
Bakou",Azerbaijan Azov Avia Airlines,0,3,7
2004,Qtr 2,June,28,Sierra,Mi,Mi  8MTV,Near Yengema Sierra,Charter UTair  - Nations LeoneUnited,0,24,24
2004,Qtr 4,November,21,Inner,Bombardier,Bombardier CRJ200B 3072,Baotou Inner,China          Mongolia China Eastern Airlines,0,53,53
2004,Qtr 4,November,27,Afghanstan,CASA,CASA 212 CCN960BW,Near Bagram Afghanstan,Taxi Air - Inc. Airways Presidental,0,6,6
2005,Qtr 1,February,22,"Indonesia
	
Sarmi",Casa 212,"CASA 212 AviocarP 2032
P","Off Sarmi Indonesia
	
Sarmi",Indonesia Indonesian National Police,0,15,18
2005,Qtr 1,March,26,Providencia,Let,Let  410UVP,El Embrujo Providencia,Colombia          Island West Caribbean Airways,0,8,14
2005,Qtr 3,September,5,Democtratic,Antonov,Antonov 26BER AZT,Isiro Democtratic,Airlines CongoKavatshi Republic,0,11,11
2006,Qtr 1,February,5,Wisconson,Shorts,Shorts 360 100 /Shorts 360,Near Watertown Wisconson,Carriers Cargo Air,0,3,3
2006,Qtr 2,June,21,Napal,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 3009N,Jumla Napal,Airlines Yeti,0,9,9
2007,Qtr 1,March,11,Kauai,Mc Donnell Douglas 369FF,Mc Donnell Douglas 369FF RotocraftN911VC,Hanea Kauai,Hawaii Inter-Island,0,1,5
2007,Qtr 3,September,24,DR,Let,Let 4109Q CVL,Malemba Nkulu DR,Airways CongoKaribu,0,1,6
2008,Qtr 2,April,11,Moldova,Antonov,Antonov An 32ST,Chrisinau Moldova,Transportation Kata,0,8,8
2008,Qtr 2,April,28,Black,Mil,Mil Mi 8TUR,Off Crimea Black,SeaNaftogaz,0,20,20
2008,Qtr 2,May,24,Catalina,Eurocopter AS350D,Eurocopter AS350D AstarN67GE,Two Harbors Catalina,California          Island Island Express Helicopter Service,0,4,6
2009,Qtr 2,June,1,570,Airbus,Airbus A330 203F,Atlantic Ocean 570,Brazil       Natal of northeast miles Air France,0,228,228
2010,Qtr 3,September,21,Zabul,Sikorsky,"Sikorsky UH 60 Black Hawk	93",Chopan district Zabul,Afghanistan          Province International Security Assistance Force,0,10,13
2010,Qtr 4,October,6,"Tajikistan	Military",Mi,Mi  8?,"Rasht Valley Tajikistan	Military",Guard National Tajik -,0,28,28
2011,Qtr 2,April,19,"India	Pawan",Mil,"Mil Mi 172	VT","Tawang India	Pawan",Ltd. Helicopters Hans,0,18,23
2011,Qtr 2,April,21,"Brazil	Amazonaves",Embraer/Piper,Embraer/Piper EMB 810C SenecaPT,"Manaus Brazil	Amazonaves",Taxi Air,0,7,7
2011,Qtr 3,August,20,Nunavut,Boeing,Boeing B 737,Resolute Bay Nunavut,Canada First Air,0,12,15
